,Questions,"Responsible (0-Operator, 1-AI Agent)"
,Assalawma aleykum vertual karta ni qanday ilova ga qoshsam bolad,1
,SQB ilovasiga kira olmayapmn,1
,Keyingisiga otolmayabman,0
,Sqb mobile ilovasidan fevral va mart oyi uchun sundirish grafigi 0 turibdi nimaga?,0
,Nimaga so'ndirish grafigida fevral va mart oyida to'lashim kerak bo'lgan summa ko'rinmayapti?,0
,Menga Mirobod tumani Sanoat qurilish bankining tranzit raqami MFO raqami kerak,0
,Kredit tólovni vaqtidan oldin amalga oshirgandim lekin keyingi tólov sanasi ózgarmadi,0
,SQB dan kredit tolov muddatiga 1 kun qoldi deb sms kelbdi meni kreditim yoq lekin tekshirib berin,0
,Виза пластик картамни жойда иловасига кушиб булмаябди,0
,shu kredit haqida bilmoqchidim talim krediti olingan 3yil boldi manimcha bitirgandan keyin tolanishi keremasmi,1
,пластикка номерди канда уласа булади,1
,Узкард картами блокдан чикариш кере,1
,Bugun kredit tolovini vaqtidan oldin tolagandim lekin ilovada keyingi tólov sanasi ózgarmagan,0
,Ассалому алейкум Виза картамдан пул ечолмаяпман,0
,Кизил езув кевотти,0
,Menga sms xabarnoma xizmtini Ulashim Kerak,1
,Ассаломк алейкуи скб банк онлине кридит беряптими хозир,1
,Plastik kartani boshqa raqamga ulamoqchiman,1
,Kartamni blokdan ochib bering,1
,Картага пул уткахмалар пайтида телефон ракамга смс келмайдиган килса буладимии ?,0
,SMS usluga qimoqchiman Kartamga,1
,Omonatimni to'ldirmoqchi edim shunaqa yozuv chiqyapti nima bu,0
,Ассалому алайкум март ойи учун к   анча карзим бор билиб беринг,0
,"Кредит олмоқчи эдим, иккита кафил қўшдим. Лекин кейинги босқичга ўтолмпяпман",0
,men bankomatdan pul yechayotgan edim yechib bolishimga svet ochib qoldi kartani chiqazib berdi pul esa yo'q lekin kardatan pul yechilgan,0
,Менга микро киридит олиш имкониятимни текшириб беринг,0
,Pul otkazmalarini amalga oshira olmayapman,0
,Qartamga ulangan raqamni ozgartirmoqchiman,1
,Менга микро киридит олиш имкониятимни текшириб беринг,1
,Karta bloklanib qolodi wuni ociw keregidi,0
